feature,count,missing,unique_values,variance,mean,min,max,constant,random_forest_importance,logistic_abs_mean_coefficient,logistic_coefficient_AVERAGE,logistic_coefficient_GOOD,logistic_coefficient_POOR
nofollow_link_count,14,0,4,0.8791208791208793,0.42857142857142855,0.0,3.0,False,0.00386249685151222,0.1348526068721545,0.12416045125975714,-0.20227891030823184,0.07811845904847453
h5_count,14,0,3,2.576923076923077,0.5,0.0,6.0,False,0.002600217523178329,0.0389654373157543,-0.018817500472550916,-0.03963065550108068,0.05844815597363132
canonical_exists,14,0,2,0.13186813186813187,0.8571428571428571,0.0,1.0,False,0.0017539875353156822,0.05213907262412337,0.05955604488188136,0.018652564054303728,-0.07820860893618502
title_exists,14,0,1,0.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0
sponsored_link_count,14,0,1,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
ugc_link_count,14,0,1,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
viewport_exists,14,0,1,0.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0
lang_exists,14,0,1,0.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0
jsonld_count,14,0,1,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
schema_org_count,14,0,1,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
